"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,
SUMMER 2009,,,,,,,,"REVISED:  September 23, 2009",,,,,,,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,,,,
Revised to include academic program codes (on far right),,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,International,Unknown,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,
120095 , , , , ,***Campus total*** , , ,9448,5163,4272,13,4700,1014,825,570,33,2062,244,5606,3842,
120095 , , , , ,Undergraduate , , ,4784,2666,2110,8,2532,713,603,406,15,392,123,4030,754,
120095 , , , , ,Graduate , , ,4472,2421,2046,5,2061,289,208,158,14,1656,86,1445,3027,
120095 , , , , ,Professional , , ,192,76,116,0,107,12,14,6,4,14,35,131,61,
,,,,,,,,,,,,,,,,,,,,,
120095 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120095 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0010 ,Agri-Accounting ,1,0,1,0,0,1,0,0,0,0,0,1,0,10KL0010BS
120095 ,KL ,470 ,BS ,0009 ,"Agribusiness, Farm & Financial ",0013 ,Agribusiness Markets & Mgmt ,2,2,0,0,2,0,0,0,0,0,0,2,0,10KL0013BS
120095 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0018 ,Consumer Economics & Finance ,1,1,0,0,0,0,0,1,0,0,0,1,0,10KL0018BS
120095 ,KL ,470 ,BS ,0017 ,"Intl, Resource, Consumer Econ ",0021 ,"Policy, Intl Trade, & Dvlpmt ",1,1,0,0,1,0,0,0,0,0,0,1,0,10KL0021BS
120095 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,16,7,9,0,10,2,1,2,0,1,0,16,0,10KL5003BS
120095 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,14,11,3,0,10,1,1,1,0,1,0,13,1,10KL5004BS
120095 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,2,2,0,0,2,0,0,0,0,0,0,2,0,10KL5005BS
