"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SUMMER 2010,,,,,,,,"PUBLICATION DATE:  JULY 28, 2010",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120105 , , , , ,***Campus total*** , , ,9286,5114,4165,7,4544,977,679,535,12,13,139,2306,81,739,65,5200,4086,
120105 , , , , ,Undergraduate , , ,4536,2579,1952,5,2343,682,469,338,4,11,82,585,22,496,31,3606,930,
120105 , , , , ,Graduate , , ,4563,2461,2100,2,2054,286,204,190,8,2,55,1714,50,236,34,1463,3100,
120105 , , , , ,Professional , , ,187,74,113,0,147,9,6,7,0,0,2,7,9,7,0,131,56,
,,,,,,,,,,,,,,,,,,,,,,,,,
120105 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120105 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,6,6,0,0,3,1,0,0,0,0,0,2,0,0,0,2,4,1PKS5186MS
120105 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,3,0,1PKS5188MS
120105 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,17,10,7,0,7,2,4,0,0,0,1,2,1,4,0,14,3,10KL5003BS
120105 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,7,5,2,0,6,1,0,0,0,0,0,0,0,0,0,5,2,10KL5004BS
120105 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL5005BS
120105 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,15,13,2,0,13,0,0,0,0,0,0,2,0,0,0,13,2,10KL5006BS
120105 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,7,7,0,0,6,0,0,0,0,0,0,1,0,0,0,6,1,10KL5007BS
120105 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KL5008BS
120105 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",4,2,2,0,3,1,0,0,0,0,0,0,0,0,0,4,0,10KL5010BS
120105 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,6,3,3,0,3,2,1,0,0,0,0,0,0,1,0,5,1,10KL5011BS
120105 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5136 ,Financial Planning ,6,3,3,0,2,0,0,2,0,0,0,2,0,0,0,4,2,10KL5136BS
120105 ,KL ,470 ,MS ,0176 ,Agr & Consumer Economics ,  ,  ,22,12,10,0,16,0,0,0,0,0,0,6,0,0,0,7,15,10KS0176MS
120105 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,  ,  ,12,8,4,0,2,1,1,0,0,0,0,8,0,1,0,0,12,10KS0176PHD
120105 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,2,0,10KL0067NDEG
120105 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0005 ,Animal Business Mgt and Ind ,4,2,2,0,4,0,0,0,0,0,0,0,0,0,0,4,0,10KL0005BS
120105 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0006 ,"Companion,Rec,Lab An Sci ",10,3,7,0,6,0,1,3,0,0,0,0,0,1,0,9,1,10KL0006BS
120105 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0008 ,"Science, Biotech & Pre-VetMed ",43,11,32,0,33,3,3,2,0,0,1,0,1,4,1,42,1,10KL0008BS
120105 ,KL ,538 ,MS ,0002 ,Animal Sciences ,  ,  ,40,18,22,0,27,1,1,1,0,0,0,10,0,1,0,27,13,10KS0002MS
120105 ,KL ,538 ,NDEG ,0002 ,Animal Sciences ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS0002NDEG
120105 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,  ,  ,47,27,20,0,19,0,0,1,0,0,0,27,0,0,0,12,35,10KS0002PHD
120105 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,12,3,9,0,4,3,1,1,0,0,0,3,0,1,0,9,3,10KL0038BS
