"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SUMMER 2013,,,,,,,,"PUBLICATION DATE:  AUGUST 26, 2013",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120135 , , , , ,***Campus total*** , , ,11201,6064,5132,5,5126,1232,736,712,18,11,227,3013,126,842,96,6037,5164,
120135 , , , , ,Undergraduate , , ,6224,3497,2723,4,3005,922,517,470,7,10,149,1094,50,576,52,4443,1781,
120135 , , , , ,Graduate , , ,4757,2491,2265,1,1979,292,207,222,11,1,72,1902,71,251,41,1452,3305,
120135 , , , , ,Professional , , ,220,76,144,0,142,18,12,20,0,0,6,17,5,15,3,142,78,
,,,,,,,,,,,,,,,,,,,,,,,,,
120135 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120135 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,3,1,2,0,1,0,0,0,0,0,0,2,0,0,0,1,2,1PKS5186MS
120135 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,4,2,2,0,2,1,0,0,0,0,0,1,0,0,0,3,1,1PKS5188MS
120135 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,3,2,1,0,2,0,1,0,0,0,0,0,0,1,0,3,0,10KL5319BS
120135 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5320 ,Agricultural Leadership Educ ,2,0,2,0,1,0,1,0,0,0,0,0,0,1,0,2,0,10KL5320BS
120135 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,21,10,11,0,13,3,0,1,0,0,0,4,0,0,0,15,6,10KL5003BS
120135 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KL5004BS
120135 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KL5005BS
120135 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,27,22,5,0,22,1,0,0,0,0,1,2,1,0,0,22,5,10KL5006BS
120135 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,21,15,6,0,17,1,1,0,0,0,0,2,0,1,0,19,2,10KL5007BS
120135 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,7,6,1,0,4,1,0,1,0,0,0,1,0,0,0,6,1,10KL5008BS
120135 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",9,5,4,0,5,1,0,0,0,0,0,3,0,0,0,6,3,10KL5010BS
120135 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,5,2,3,0,2,1,1,0,0,0,0,1,0,1,0,4,1,10KL5011BS
120135 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5136 ,Financial Planning ,16,8,8,0,9,3,0,0,0,0,0,4,0,0,0,10,6,10KL5136BS
120135 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5316 ,Finance in Agri-Business ,16,9,7,0,12,2,0,1,0,0,0,0,1,0,0,16,0,10KL5316BS
120135 ,KL ,470 ,MS ,0176 ,Agr & Consumer Economics ,  ,  ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KS0176MS
120135 ,KL ,470 ,MS ,5273 ,Agricultural & Applied Econ ,  ,  ,11,3,8,0,5,0,0,2,0,0,0,4,0,1,0,4,7,10KS5273MS
120135 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,  ,  ,4,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,4,10KS0176PHD
120135 ,KL ,470 ,PHD ,5273 ,Agricultural & Applied Econ ,  ,  ,8,5,3,0,1,0,0,0,0,0,0,7,0,0,0,0,8,10KS5273PHD
120135 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,10,4,6,0,4,0,0,2,0,0,0,3,1,0,0,7,3,10KL0067NDEG
120135 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0006 ,"Companion,Rec,Lab An Sci ",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0006BS
120135 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0008 ,"Science, Biotech & Pre-VetMed ",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0008BS
