"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SPRING 2012,,,,,,,,"PUBLICATION DATE:  FEBRUARY 6, 2012",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120121 , , , , ,***Campus total*** , , ,40664,22014,18633,17,22463,4803,2065,2555,54,58,764,7581,321,2329,268,28124,12540,
120121 , , , , ,Undergraduate , , ,30447,16577,13857,13,17786,4134,1663,2123,34,53,606,3885,163,1868,185,24523,5924,
120121 , , , , ,Graduate , , ,9102,4976,4123,3,3891,595,349,350,17,4,137,3674,85,400,75,2878,6224,
120121 , , , , ,Professional , , ,1115,461,653,1,786,74,53,82,3,1,21,22,73,61,8,723,392,
,,,,,,,,,,,,,,,,,,,,,,,,,
120121 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120121 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,6,6,0,0,5,1,0,0,0,0,0,0,0,0,0,5,1,1PKS5186MS
120121 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,4,2,2,0,2,0,0,0,0,0,0,1,1,0,0,2,2,1PKS5188MS
120121 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,15,7,8,0,14,0,1,0,0,0,0,0,0,1,0,14,1,10KL5319BS
120121 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5320 ,Agricultural Leadership Educ ,15,6,9,0,11,0,3,1,0,0,0,0,0,3,0,13,2,10KL5320BS
120121 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,87,46,41,0,47,16,5,1,0,0,0,16,2,5,0,70,17,10KL5003BS
120121 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,21,14,7,0,12,3,0,1,0,0,1,4,0,1,0,16,5,10KL5004BS
120121 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,21,20,1,0,21,0,0,0,0,0,0,0,0,0,0,21,0,10KL5005BS
120121 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,118,90,28,0,99,6,4,2,0,0,2,4,1,4,0,110,8,10KL5006BS
120121 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,81,61,20,0,58,10,2,2,1,0,0,7,1,2,2,70,11,10KL5007BS
120121 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,29,20,9,0,17,3,0,2,0,0,1,6,0,0,1,22,7,10KL5008BS
120121 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",35,17,18,0,18,5,2,5,0,0,0,5,0,2,0,28,7,10KL5010BS
120121 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,34,17,17,0,23,2,4,4,0,0,0,1,0,5,0,33,1,10KL5011BS
120121 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5136 ,Financial Planning ,67,41,26,0,43,3,3,3,0,0,2,13,0,4,0,54,13,10KL5136BS
120121 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5316 ,Finance in Agri-Business ,62,52,10,0,49,2,0,4,0,0,1,5,1,0,0,56,6,10KL5316BS
120121 ,KL ,470 ,MS ,0176 ,Agr & Consumer Economics ,  ,  ,10,5,5,0,2,0,0,0,0,0,0,8,0,0,0,2,8,10KS0176MS
120121 ,KL ,470 ,MS ,5273 ,Agricultural & Applied Econ ,  ,  ,14,5,9,0,7,0,0,1,0,0,0,6,0,0,0,4,10,10KS5273MS
120121 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,  ,  ,14,9,5,0,2,0,1,0,0,0,0,11,0,1,0,0,14,10KS0176PHD
120121 ,KL ,470 ,PHD ,5273 ,Agricultural & Applied Econ ,  ,  ,25,13,12,0,4,3,1,0,0,0,0,17,0,1,0,1,24,10KS5273PHD
120121 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,71,40,31,0,55,0,1,2,0,0,1,12,0,1,1,59,12,10KL0067NDEG
120121 ,KL ,538 ,BS ,0002 ,Animal Sciences ,  ,  ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0002BS
120121 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0005 ,Animal Business Mgt and Ind ,3,1,2,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KL0005BS
