"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SPRING 2013,,,,,,,,"PUBLICATION DATE:  FEBRUARY 15, 2013",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120131 , , , , ,***Campus total*** , , ,40964,22499,18455,10,21800,5009,2033,2714,41,51,844,8159,313,2338,292,27659,13305,
120131 , , , , ,Undergraduate , , ,30459,16863,13590,6,17146,4338,1634,2271,25,48,684,4167,146,1870,207,24044,6415,
120131 , , , , ,Graduate , , ,9409,5193,4214,2,3905,607,339,359,14,3,140,3962,80,401,76,2881,6528,
120131 , , , , ,Professional , , ,1096,443,651,2,749,64,60,84,2,0,20,30,87,67,9,734,362,
,,,,,,,,,,,,,,,,,,,,,,,,,
120131 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120131 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,3,1,2,0,1,0,0,0,0,0,0,2,0,0,0,1,2,1PKS5186MS
120131 ,KL ,306 ,MS ,5188 ,Agricultural Production ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1PKS5188MS
120131 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,4,2,2,0,2,1,0,0,0,0,0,1,0,0,0,3,1,1PKS5188MS
120131 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,21,9,12,0,21,0,0,0,0,0,0,0,0,0,0,21,0,10KL5319BS
120131 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5320 ,Agricultural Leadership Educ ,23,10,13,0,16,1,4,0,0,0,0,2,0,4,0,20,3,10KL5320BS
120131 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,91,49,42,0,54,16,4,1,0,0,0,16,0,4,0,72,19,10KL5003BS
120131 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,6,5,1,0,2,1,0,0,0,0,0,3,0,0,0,3,3,10KL5004BS
120131 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,21,19,2,0,21,0,0,0,0,0,0,0,0,0,0,21,0,10KL5005BS
120131 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,142,105,37,0,115,11,4,3,0,0,1,6,2,4,0,125,17,10KL5006BS
120131 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,110,81,29,0,72,14,6,2,0,0,0,15,1,6,1,91,19,10KL5007BS
120131 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,29,19,10,0,20,2,0,2,0,0,1,4,0,0,1,24,5,10KL5008BS
120131 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",43,23,20,0,20,7,2,6,0,0,0,8,0,2,0,32,11,10KL5010BS
120131 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,41,18,23,0,25,6,5,1,0,0,0,4,0,5,0,34,7,10KL5011BS
120131 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5136 ,Financial Planning ,82,48,34,0,53,4,3,4,0,0,1,17,0,3,0,63,19,10KL5136BS
120131 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5316 ,Finance in Agri-Business ,80,59,21,0,66,4,2,2,0,0,3,2,1,2,0,77,3,10KL5316BS
120131 ,KL ,470 ,MS ,0176 ,Agr & Consumer Economics ,  ,  ,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,10KS0176MS
120131 ,KL ,470 ,MS ,5273 ,Agricultural & Applied Econ ,  ,  ,28,11,17,0,12,0,0,3,0,0,0,13,0,1,1,9,19,10KS5273MS
120131 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,  ,  ,8,4,4,0,0,0,0,0,0,0,0,8,0,0,0,0,8,10KS0176PHD
120131 ,KL ,470 ,PHD ,5273 ,Agricultural & Applied Econ ,  ,  ,26,14,12,0,4,3,0,0,0,0,0,19,0,0,0,0,26,10KS5273PHD
120131 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,93,58,35,0,64,1,1,1,0,0,0,25,1,1,0,68,25,10KL0067NDEG
120131 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0006 ,"Companion,Rec,Lab An Sci ",2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KL0006BS
