"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,,,
SPRING 2015,,,,,,,,"PUBLICATION DATE:  FEBRUARY 13, 2015",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,,,,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,All students including multiracial and Hispanic,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
120151 , , , , ,***Campus total*** , , ,41497,22842,18650,5,19866,5673,2009,3189,35,41,985,9286,413,2418,316,153,6443,26498,14999,
120151 , , , , ,Undergraduate , , ,30948,17211,13733,4,15526,4981,1637,2723,16,33,838,5001,193,1966,234,133,5646,23100,7848,
120151 , , , , ,Graduate , , ,9554,5255,4299,0,3732,629,328,412,18,7,134,4220,74,399,76,17,725,2746,6808,
120151 , , , , ,Professional , , ,995,376,618,1,608,63,44,54,1,1,13,65,146,53,6,3,72,652,343,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
120151 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120151 ,KL ,306 ,MS ,5186 ,Bioenergy ,  ,  ,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1PKS5186MS
120151 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,12,11,1,0,1,1,0,0,0,0,0,10,0,0,0,0,1,2,10,1PKS5186MS
120151 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,5,1,4,0,2,0,0,0,0,0,1,2,0,0,0,0,1,3,2,1PKS5188MS
120151 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,29,9,20,0,26,0,0,2,0,0,1,0,0,0,1,0,0,29,0,10KL5319BS
120151 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10KL8037BS
