"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SUMMER 2011,,,,,,,,"PUBLICATION DATE:  JUNE 27, 2011",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120115 , , , , ,***Campus total*** , , ,9258,5089,4160,9,4414,890,614,499,15,4,158,2548,116,682,69,4963,4295,
120115 , , , , ,Undergraduate , , ,4537,2563,1969,5,2277,623,441,310,5,3,85,747,46,474,31,3391,1146,
120115 , , , , ,Graduate , , ,4516,2452,2060,4,1986,256,165,178,8,1,67,1791,64,198,34,1440,3076,
120115 , , , , ,Professional , , ,205,74,131,0,151,11,8,11,2,0,6,10,6,10,4,132,73,
,,,,,,,,,,,,,,,,,,,,,,,,,
120115 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120115 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,6,4,2,0,5,0,0,0,0,0,0,1,0,0,0,4,2,1PKS5186MS
120115 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,4,2,2,0,3,0,0,1,0,0,0,0,0,0,0,4,0,1PKS5188MS
120115 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,18,9,9,0,10,3,0,0,0,0,0,5,0,0,0,13,5,10KL5003BS
120115 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,7,4,3,0,1,1,0,0,0,0,0,5,0,0,0,2,5,10KL5004BS
120115 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,15,11,4,0,13,1,1,0,0,0,0,0,0,1,0,13,2,10KL5006BS
120115 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,6,6,0,0,5,1,0,0,0,0,0,0,0,0,0,6,0,10KL5007BS
120115 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KL5008BS
120115 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL5010BS
120115 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,8,5,3,0,6,1,0,0,0,0,0,1,0,0,0,6,2,10KL5011BS
120115 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5136 ,Financial Planning ,9,6,3,0,4,0,1,1,0,0,0,3,0,1,1,6,3,10KL5136BS
120115 ,KL ,470 ,MS ,0176 ,Agr & Consumer Economics ,  ,  ,6,4,2,0,0,1,0,0,0,0,0,5,0,0,0,0,6,10KS0176MS
120115 ,KL ,470 ,MS ,5273 ,Agricultural & Applied Econ ,  ,  ,5,2,3,0,2,0,0,0,0,0,0,3,0,0,0,0,5,10KS5273MS
120115 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,  ,  ,11,5,6,0,4,0,0,0,0,0,0,7,0,0,0,0,11,10KS0176PHD
120115 ,KL ,470 ,PHD ,5273 ,Agricultural & Applied Econ ,  ,  ,5,2,3,0,1,1,0,0,0,0,0,3,0,0,0,0,5,10KS5273PHD
120115 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KL0067NDEG
120115 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0006 ,"Companion,Rec,Lab An Sci ",7,0,7,0,6,0,0,1,0,0,0,0,0,0,0,7,0,10KL0006BS
120115 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0007 ,Food Animal Science ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0007BS
120115 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0008 ,"Science, Biotech & Pre-VetMed ",30,5,25,0,24,2,1,3,0,0,0,0,0,2,0,30,0,10KL0008BS
120115 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5267 ,Technology and Management ,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0002BS
120115 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5268 ,Companion Animal & Equine Sci ,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,3,0,10KL0002BS
120115 ,KL ,538 ,BS ,0002 ,Animal Sciences ,5269 ,"Science, Pre-Vet Med and Med ",6,0,6,0,4,0,0,2,0,0,0,0,0,0,0,6,0,10KL0002BS
