"UIUC On-Campus Student Enrollment by Curriculum, Sex, Race/Ethnicity, and Residency",,,,,,,,,,,,,,,,,,,,,,,,,
SUMMER 2012,,,,,,,,"PUBLICATION DATE:  SEPTEMBER 13, 2012",,,,,,,,,,* This section uses the new Federal IPEDS guidelines for reporting racial and ethnic data. ,,,,,,,
Division of Management Information,,,,,,*** This report is derived from the Registration Census 10-day student statistics.  Any Codebook changes made after ,,,,,,,,,,,,"   For more information on these guidelines, see  ",,,,http://www.vpaa.uillinois.edu/RaceEthnicity/index.cfm,,,
,,,,,,the tenth day of class will not be reflected.  Students obtaining a second bachelor's degree are no longer counted separately.,,,,,,,,,,,,,,,All students including multiracial and Hispanic,,,,
Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,By Gender,,,By Self-reported Race/Ethnicity (NEW*),,,,,,,,,,,By Residency,,Academic Program Code
,,,,,,,,,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,Illinois,Non-Illinois,
,,,,,,,,,,,,,,,,,,,,,,,,,
120125 , , , , ,***Campus total*** , , ,10010,5420,4586,4,4693,1034,692,594,21,8,181,2704,83,771,78,5527,4483,
120125 , , , , ,Undergraduate , , ,5459,2995,2461,3,2700,752,490,381,11,6,108,983,28,539,42,4015,1444,
120125 , , , , ,Graduate , , ,4285,2330,1955,0,1818,268,181,183,9,2,68,1711,45,208,34,1343,2942,
120125 , , , , ,Professional , , ,266,95,170,1,175,14,21,30,1,0,5,10,10,24,2,169,97,
,,,,,,,,,,,,,,,,,,,,,,,,,
120125 ,KL ,  ,  ,  ,"Agr, Cons, Env Sci ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
120125 ,KL ,306 ,MS ,5186 ,Bioenergy ,5166 ,Professional Science Masters ,6,6,0,0,5,1,0,0,0,0,0,0,0,0,0,5,1,1PKS5186MS
120125 ,KL ,306 ,MS ,5188 ,Agricultural Production ,5166 ,Professional Science Masters ,4,2,2,0,2,0,0,0,0,0,0,1,1,0,0,2,2,1PKS5188MS
120125 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5319 ,Agricultural Science Education ,3,1,2,0,2,0,1,0,0,0,0,0,0,1,0,3,0,10KL5319BS
120125 ,KL ,342 ,BS ,5318 ,Agric Leadership & Sci Educ ,5320 ,Agricultural Leadership Educ ,4,3,1,0,2,0,2,0,0,0,0,0,0,2,0,3,1,10KL5320BS
120125 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5003 ,Agri-Accounting ,30,19,11,0,15,7,1,1,0,0,0,6,0,1,0,23,7,10KL5003BS
120125 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5004 ,Agri-Finance ,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10KL5004BS
120125 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5005 ,Farm Management ,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KL5005BS
120125 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5006 ,Agribusiness Markets & Mgmt ,14,9,5,0,9,1,2,0,0,0,0,2,0,2,0,10,4,10KL5006BS
120125 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5007 ,Consumer Economics & Finance ,12,11,1,0,8,1,0,0,0,0,0,2,1,0,0,10,2,10KL5007BS
120125 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5008 ,Envirnmntal Economics & Policy ,6,5,1,0,3,0,0,0,0,0,0,3,0,0,0,3,3,10KL5008BS
120125 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5010 ,"Policy, Intl Trade, & Dvlpmt ",3,2,1,0,1,1,0,0,0,0,0,1,0,0,0,1,2,10KL5010BS
120125 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5011 ,Public Policy and Law ,4,2,2,0,3,0,0,1,0,0,0,0,0,0,0,4,0,10KL5011BS
120125 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5136 ,Financial Planning ,10,4,6,0,6,0,0,0,0,0,1,3,0,1,0,6,4,10KL5136BS
120125 ,KL ,470 ,BS ,0176 ,Agr & Consumer Economics ,5316 ,Finance in Agri-Business ,10,7,3,0,4,0,1,0,0,0,1,3,1,1,0,7,3,10KL5316BS
120125 ,KL ,470 ,MS ,5273 ,Agricultural & Applied Econ ,  ,  ,10,3,7,0,4,0,0,1,0,0,0,5,0,0,1,3,7,10KS5273MS
120125 ,KL ,470 ,NDEG ,0176 ,Agr & Consumer Economics ,  ,  ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KS0176NDEG
120125 ,KL ,470 ,PHD ,0176 ,Agr & Consumer Economics ,  ,  ,4,3,1,0,2,0,0,0,0,0,0,2,0,0,0,0,4,10KS0176PHD
120125 ,KL ,470 ,PHD ,5273 ,Agricultural & Applied Econ ,  ,  ,9,5,4,0,2,1,0,0,0,0,0,6,0,0,0,0,9,10KS5273PHD
120125 ,KL ,483 ,NDEG ,0067 ,Nondegree ,  ,  ,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KL0067NDEG
120125 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0006 ,"Companion,Rec,Lab An Sci ",2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,10KL0006BS
120125 ,KL ,538 ,BS ,0002 ,Animal Sciences ,0007 ,Food Animal Science ,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10KL0007BS
