Major,Male,Female,Neutral
"Agribusiness, Farm & Financial ",39,37,0
"Agribusiness, Farm & Financial ",51,16,0
"Agribusiness, Farm & Financial ",42,2,1
"Agribusiness, Farm & Financial ",65,32,1
Consumer and Textile Marketing ,0,1,0
"Intl, Resource, Consumer Econ ",68,33,0
"Intl, Resource, Consumer Econ ",6,2,0
"Intl, Resource, Consumer Econ ",2,1,0
"Intl, Resource, Consumer Econ ",38,26,0
Animal Sciences ,0,1,0
Animal Sciences ,12,11,0
Animal Sciences ,16,88,0
Animal Sciences ,9,13,0
Animal Sciences ,83,268,0
Food Science & Human Nutrition ,14,34,0
Food Science & Human Nutrition ,14,26,0
Food Science & Human Nutrition ,16,59,0
Food Science & Human Nutrition ,3,96,0
Food Science & Human Nutrition ,34,61,0
Technical Systems Management ,8,0,0
Technical Systems Management ,54,7,0
Agr & Environmental Cmc & Educ ,16,44,0
Agr & Environmental Cmc & Educ ,3,5,0
Agr & Environmental Cmc & Educ ,3,5,0
Agr & Environmental Cmc & Educ ,15,21,0
Human Development & Family St ,6,127,0
Human Development & Family St ,4,56,0
Crop Sciences ,2,0,0
Crop Sciences ,14,3,0
Crop Sciences ,27,0,0
Crop Sciences ,17,16,1
Crop Sciences ,2,2,0
Forestry ,3,1,0
Forestry ,1,0,0
Natural Resrcs & Environ Sci ,16,12,0
Natural Resrcs & Environ Sci ,5,12,0
Natural Resrcs & Environ Sci ,2,4,0
Natural Resrcs & Environ Sci ,42,21,0
Natural Resrcs & Environ Sci ,13,1,0
Natural Resrcs & Environ Sci ,12,17,0
Natural Resrcs & Environ Sci ,19,15,0
Natural Resrcs & Environ Sci ,4,5,0
Natural Resrcs & Environ Sci ,0,1,0
Horticulture ,5,1,0
Horticulture ,41,22,0
Horticulture ,4,1,0
Finance ,427,199,0
Finance ,55,46,0
Accountancy ,28,27,0
Accountancy ,24,32,0
Accountancy ,43,33,0
Accountancy ,23,25,0
Business Administration ,161,242,0
Business Administration ,33,58,0
Business Administration ,3,1,0
Business Administration ,25,18,0
Business Administration ,21,8,0
Business Administration ,77,36,0
Business Administration ,55,27,0
Business Administration ,1,0,0
Business Administration ,32,11,0
Business Administration (MBA) ,44,9,0
Early Childhood Education ,0,2,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,3,0
Early Childhood Education ,0,11,0
Early Childhood Education ,0,1,0
Early Childhood Education ,1,11,0
Early Childhood Education ,0,2,0
Early Childhood Education ,2,19,0
Early Childhood Education ,0,2,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,1,0
Early Childhood Education ,0,8,0
Elementary Education ,0,2,0
Elementary Education ,1,2,0
Elementary Education ,0,1,0
Elementary Education ,0,4,0
Elementary Education ,3,3,0
Elementary Education ,5,19,0
Elementary Education ,4,61,0
Elementary Education ,6,69,0
Elementary Education ,0,2,0
Elementary Education ,1,0,0
Elementary Education ,2,38,0
Elementary Education ,1,16,0
Elementary Education ,0,3,0
Elementary Education ,0,2,0
Elementary Education ,1,45,0
Early Childhood Education ,0,2,0
Elementary Education ,4,18,0
Secondary & Continuing Educ ,3,5,0
Secondary & Continuing Educ ,3,2,0
Secondary & Continuing Educ ,5,10,0
Secondary & Continuing Educ ,6,1,0
