Term,Major,Concentration,Total,Male,Female,Neutral
120048,"Agribusiness, Farm & Financial ",Agri-Accounting ,76,39,37,0
120048,"Agribusiness, Farm & Financial ",Agri-Finance ,67,51,16,0
120048,"Agribusiness, Farm & Financial ",Farm Management ,45,42,2,1
120048,"Agribusiness, Farm & Financial ",Agribusiness Markets & Mgmt ,98,65,32,1
120048,Consumer and Textile Marketing ,Consumer & Textile Marketing ,1,0,1,0
120048,"Intl, Resource, Consumer Econ ",Consumer Economics & Finance ,101,68,33,0
120048,"Intl, Resource, Consumer Econ ",Env & Natural Resource Mgmt ,8,6,2,0
120048,"Intl, Resource, Consumer Econ ",Individually Planned Curricula ,3,2,1,0
120048,"Intl, Resource, Consumer Econ ","Policy, Intl Trade, & Dvlpmt ",64,38,26,0
120048,Animal Sciences ,Science ,1,0,1,0
120048,Animal Sciences ,Animal Business Mgt and Ind ,23,12,11,0
120048,Animal Sciences ,"Companion,Rec,Lab An Sci ",104,16,88,0
120048,Animal Sciences ,Food Animal Science ,22,9,13,0
120048,Animal Sciences ,"Science, Biotech & Pre-VetMed ",351,83,268,0
120048,Food Science & Human Nutrition ,Food Science ,48,14,34,0
120048,Food Science & Human Nutrition ,Food Industry and Business ,40,14,26,0
120048,Food Science & Human Nutrition ,Human Nutrition ,75,16,59,0
120048,Food Science & Human Nutrition ,Dietetics ,99,3,96,0
120048,Food Science & Human Nutrition ,Hospitality Management ,95,34,61,0
120048,Technical Systems Management ,Production Systems ,8,8,0,0
120048,Technical Systems Management ,"Mech, Mrktg & Tech Mgt Sys ",61,54,7,0
120048,Agr & Environmental Cmc & Educ ,Agricultural Communications ,60,16,44,0
120048,Agr & Environmental Cmc & Educ ,Environ Educ & Communications ,8,3,5,0
120048,Agr & Environmental Cmc & Educ ,Agricultural Leadership ,8,3,5,0
120048,Agr & Environmental Cmc & Educ ,Agricultural Education ,36,15,21,0
120048,Human Development & Family St ,Child and Adolescent Dev ,133,6,127,0
120048,Human Development & Family St ,Family Studies ,60,4,56,0
120048,Crop Sciences ,Agroecology ,2,2,0,0
120048,Crop Sciences ,Crops ,17,14,3,0
120048,Crop Sciences ,Crop Agribusiness ,27,27,0,0
120048,Crop Sciences ,Plant Biotech & Molecular Bio ,34,17,16,1
120048,Crop Sciences ,Biological Sciences ,4,2,2,0
120048,Forestry ,Forest Science ,4,3,1,0
120048,Forestry ,Urban Forestry ,1,1,0,0
120048,Natural Resrcs & Environ Sci ,Biological Sciences ,28,16,12,0
120048,Natural Resrcs & Environ Sci ,Social Science ,17,5,12,0
120048,Natural Resrcs & Environ Sci ,Environmental Soil & Water Sci ,6,2,4,0
120048,Natural Resrcs & Environ Sci ,Fish and Wildlife Conservation ,63,42,21,0
120048,Natural Resrcs & Environ Sci ,Forest Science ,14,13,1,0
120048,Natural Resrcs & Environ Sci ,Human Dimensions ,29,12,17,0
120048,Natural Resrcs & Environ Sci ,Resource Ecology ,34,19,15,0
120048,Natural Resrcs & Environ Sci ,Soil and Water Science ,9,4,5,0
120048,Natural Resrcs & Environ Sci ,Social Sciences ,1,0,1,0
120048,Horticulture ,Horticulture Science ,6,5,1,0
120048,Horticulture ,Production and Management ,63,41,22,0
120048,Horticulture ,Urban Forestry ,5,4,1,0
120048,Finance ,"Bus Finance, Inv & Fin Inst ",626,427,199,0
120048,Finance ,International Program ,101,55,46,0
120048,Accountancy ,Accountancy (BS/Master Prg) ,55,28,27,0
120048,Accountancy ,Tax ,56,24,32,0
120048,Accountancy ,International Program ,76,43,33,0
120048,Accountancy ,Accountancy Postb ,48,23,25,0
120048,Business Administration ,Marketing ,403,161,242,0
120048,Business Administration ,Organizational Administration ,91,33,58,0
120048,Business Administration ,Production ,4,3,1,0
120048,Business Administration ,Management Science ,43,25,18,0
120048,Business Administration ,Industrial Distribution Mgt ,29,21,8,0
120048,Business Administration ,Management Info Systems ,113,77,36,0
120048,Business Administration ,Entrepreneurship ,82,55,27,0
120048,Business Administration ,Food and Agribusiness Mgt ,1,1,0,0
120048,Business Administration ,International Managers Program ,43,32,11,0
120048,Business Administration (MBA) ,Executive Program ,53,44,9,0
120048,Early Childhood Education ,ECh: Art ,2,0,2,0
120048,Early Childhood Education ,ECh: Earth Science ,1,0,1,0
120048,Early Childhood Education ,ECh: Geography ,1,0,1,0
120048,Early Childhood Education ,ECh: History ,3,0,3,0
120048,Early Childhood Education ,ECh: Language arts ,11,0,11,0
120048,Early Childhood Education ,ECh: Linguistics ,1,0,1,0
120048,Early Childhood Education ,ECh: Mathematics ,12,1,11,0
120048,Early Childhood Education ,ECh: Music ,2,0,2,0
120048,Early Childhood Education ,ECh: Psychology ,21,2,19,0
120048,Early Childhood Education ,ECh: Sociology ,2,0,2,0
120048,Early Childhood Education ,ECh: Theatre ,1,0,1,0
120048,Early Childhood Education ,ECh: Italian ,1,0,1,0
120048,Early Childhood Education ,ECh: Spanish ,8,0,8,0
120048,Elementary Education ,EIEd: Art ,2,0,2,0
120048,Elementary Education ,EIEd: Biology ,3,1,2,0
120048,Elementary Education ,EIEd: Dance ,1,0,1,0
120048,Elementary Education ,EIEd: Earth Science ,4,0,4,0
120048,Elementary Education ,EIEd: Geography ,6,3,3,0
120048,Elementary Education ,EIEd: History ,24,5,19,0
120048,Elementary Education ,EIEd: Language Arts ,65,4,61,0
120048,Elementary Education ,EIEd: Mathematics ,75,6,69,0
120048,Elementary Education ,EIEd: Music ,2,0,2,0
120048,Elementary Education ,EIEd: Political Science ,1,1,0,0
120048,Elementary Education ,ElEd: Psychology ,40,2,38,0
120048,Elementary Education ,ElEd: Sociology ,17,1,16,0
120048,Elementary Education ,EIEd: French ,3,0,3,0
120048,Elementary Education ,EIEd: German ,2,0,2,0
120048,Elementary Education ,EIEd: Spanish ,46,1,45,0
120048,Early Childhood Education ,Teacher Certification ,2,0,2,0
120048,Elementary Education ,Elementary Ed - Cert ,22,4,18,0
120048,Secondary & Continuing Educ ,English Certification ,8,3,5,0
120048,Secondary & Continuing Educ ,Social Studies Certification ,5,3,2,0
120048,Secondary & Continuing Educ ,Sciences Certification ,15,5,10,0
120048,Secondary & Continuing Educ ,Mathematics Certification ,7,6,1,0
120048,Secondary & Continuing Educ ,English Certification ,1,1,0,0
120048,Computer Science ,CS:BS/MS Program ,10,10,0,0
120048,Computer Science ,CS:BS/MS Program ,17,17,0,0
120048,Music Education ,Choral Music ,50,12,38,0
120048,Music Education ,Instrumental Music ,120,53,67,0
120048,Music Education ,Elementary General Music ,9,2,7,0
120048,Crafts ,Ceramics ,9,2,7,0
120048,Crafts ,Glass ,8,5,3,0
120048,Crafts ,Metals ,12,2,10,0
